autoencoder.py 
(0, 112896.52)
(1, 95734.125)
(2, 89296.516)
(3, 81016.297)
(4, 81865.875)
(5, 76812.141)
(6, 74202.906)
(7, 71861.609)
(8, 69686.125)
(9, 70181.0)
(10, 66940.867)
(11, 66444.383)
(12, 67309.875)
(13, 65419.191)
(14, 64973.785)
(15, 64381.586)
(16, 64815.113)
(17, 63497.125)
(18, 63502.633)
(19, 62929.648)
(20, 62289.551)
(21, 62909.25)
(22, 62160.816)
(23, 62988.758)
(24, 60543.25)
(25, 62204.105)
(26, 61147.336)
(27, 62916.609)
(28, 60120.512)


//=== autoenc2.py 
(0, 106758.99)
(1, 89446.68)
(2, 84258.922)
(3, 79996.07)
(4, 76925.062)
(5, 74660.352)
(6, 72722.117)
(7, 70925.43)
(8, 69193.812)
(9, 68666.078)
(10, 67215.578)
(11, 65922.641)
(12, 65512.836)
(13, 65041.102)
(14, 64059.754)
(15, 63953.414)
(16, 62568.633)
